 ,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,fixation.stopped,line1.started,line2.started,line3.started,line4.started,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
-50,x,,,,,25,2,102,0,863.0427716,864.0425078,864.0425078,864.0425078,864.0425078,864.0425078,865.0429699,865.0429699,x,1,1.0226958,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,,,,,25,3,103,1,866.0922249,867.0930222,867.0930222,867.0930222,867.0930222,867.0930222,868.0922651,868.0922651,v,1,0.913605,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,26,0,104,3,869.0258285,870.0264325,870.0264325,870.0264325,870.0264325,870.0264325,871.0258169,871.0258169,z,1,0.9578548,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,,,,,26,1,105,1,872.0091737,873.0089906,873.0089906,873.0089906,873.0089906,873.0089906,874.0090595,874.0090595,v,1,1.2349857,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
50,c,,,,,26,2,106,2,875.2758864,876.2760883,876.2760883,876.2760883,876.2760883,876.2760883,877.2751463,877.2751463,c,1,0.7097358,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,26,3,107,3,878.0087045,879.0084821,879.0084821,879.0084821,879.0084821,879.0084821,880.0082481,880.0082481,z,1,0.8793999,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,27,0,108,3,880.9082988,881.9085099,881.9085099,881.9085099,881.9085099,881.9085099,882.9084491,882.9084491,z,1,0.5935642,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-50,x,,,,,27,1,109,0,883.5249241,884.5255018,884.5255018,884.5255018,884.5255018,884.5255018,885.5250299,885.5250299,x,1,0.6797365,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,,,,,27,2,110,1,886.2247611,887.2254809,887.2254809,887.2254809,887.2254809,887.2254809,888.2247908,888.2247908,v,1,0.8982256,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,27,3,111,3,889.1415327,890.1410857,890.1410857,890.1410857,890.1410857,890.1410857,891.1417021,891.1417021,z,1,0.9429958,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-50,x,,,,,28,0,112,0,892.1077063,893.1079529,893.1079529,893.1079529,893.1079529,893.1079529,894.1078956,894.1078956,x,1,0.4428519,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,,,,,28,1,113,1,894.5745819,895.5746934,895.5746934,895.5746934,895.5746934,895.5746934,896.5748311,896.5748311,v,1,0.9144181,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-50,x,,,,,28,2,114,0,897.5072435,898.5078471,898.5078471,898.5078471,898.5078471,898.5078471,899.507701,899.507701,x,1,1.1567169,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,28,3,115,3,900.691298,901.6903956,901.6903956,901.6903956,901.6903956,901.6903956,902.6909335,902.6909335,z,1,0.8624665,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,29,0,116,3,903.5740346,904.5744423,904.5744423,904.5744423,904.5744423,904.5744423,905.5741809,905.5741809,z,1,0.511497,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,,,,,29,1,117,1,906.1069463,907.1076396,907.1076396,907.1076396,907.1076396,907.1076396,908.107424,908.107424,v,1,0.9676167,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,,,,,29,2,118,1,909.1072755,910.106719,910.106719,910.106719,910.106719,910.106719,911.1069346,911.1069346,v,1,0.575615,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,29,3,119,3,911.7068751,912.7069519,912.7069519,912.7069519,912.7069519,912.7069519,913.7068468,913.7068468,z,1,0.9052855,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,30,0,120,3,914.6403107,915.6406151,915.6406151,915.6406151,915.6406151,915.6406151,916.6397941,916.6397941,z,1,0.5826589,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,30,1,121,3,917.2404588,918.2406249,918.2406249,918.2406249,918.2406249,918.2406249,919.2402719,919.2402719,z,1,0.5806445,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-50,x,,,,,30,2,122,0,919.8398665,920.8402973,920.8402973,920.8402973,920.8402973,920.8402973,921.8399983,921.8399983,x,1,0.5673842,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,,,,,30,3,123,1,922.4396947,923.4400282,923.4400282,923.4400282,923.4400282,923.4400282,924.4399261,924.4399261,v,1,0.9981392,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
